"","Scap_PJ_001","Scap_PJ_002","Scap_PJ_003","Scap_PJ_004","Scap_PJ_005","Scap_PJ_006","Scap_PJ_007","Scap_PJ_008","Scap_PJ_009"
"Scap_DM21G11_01391",18254,23373,24643,5970,4828,7814,6257,6333,6287
"Scap_DM21G11_01392",8310,9120,11638,11535,8861,13327,12842,13633,12452
"Scap_DM21G11_01393",30915,31138,35373,30276,23030,37320,31534,32653,31300
"Scap_DM21G11_01394",5127,5009,5509,4517,3028,5052,4098,3608,3582
"Scap_DM21G11_01395",20540,21649,30147,26796,20526,32511,22879,22944,21557
"Scap_DM21G11_01396",14711,15366,19340,17910,12527,19635,12539,12028,10675
"Scap_DM21G11_01397",19301,21077,28182,24434,19476,29760,21179,21141,20314
"Scap_DM21G11_01398",21625,23729,28574,24774,18320,28609,20910,20847,19546
"Scap_DM21G11_01399",25937,28825,34010,28846,23879,38534,26130,27498,25981
"Scap_DM21G11_01400",24760,26462,28752,24450,17968,27820,18090,17560,16381
"Scap_DM21G11_01401",7837,8470,9161,6994,5126,8077,5456,5339,4884
"Scap_DM21G11_01402",27739,34648,42214,20439,16626,27132,22682,21892,20907
"Scap_DM21G11_01403",5082,5823,7309,5354,3781,5800,5209,5060,4572
"Scap_DM21G11_01404",19411,22209,26952,15986,12453,19046,15094,16191,14744
"Scap_DM21G11_01405",30892,33489,38412,29396,21050,34687,25193,24345,23917
"Scap_DM21G11_01406",209,167,203,165,113,184,154,140,103
"Scap_DM21G11_01407",145,142,153,145,100,118,115,107,102
"Scap_DM21G11_01408",267,290,253,260,219,327,323,235,242
"Scap_DM21G11_01409",209,218,256,220,184,259,192,224,163
"Scap_DM21G11_01410",461,490,576,513,332,568,442,400,394
"Scap_DM21G11_01411",816,950,1197,921,765,1215,953,957,934
"Scap_DM21G11_01412",722,745,942,699,577,766,591,531,524
"Scap_DM21G11_01413",14644,15338,16797,10291,7719,12115,8576,8455,7355
"Scap_DM21G11_01414",38998,41670,44536,26022,20364,31937,23262,24193,21890
"Scap_DM21G11_01415",149439,160629,212682,491050,374862,570143,426430,426110,386129
"Scap_DM21G11_01416",68677,73309,88107,162209,115793,175224,121255,117530,105953
"Scap_DM21G11_01417",16966,19933,24794,32712,29634,46226,37849,44840,41272
"Scap_DM21G11_01418",4069,5165,6868,6704,6500,9552,8637,9887,8551
"Scap_DM21G11_01419",1615,1733,1974,997,840,1455,1019,1085,1000
"Scap_DM21G11_01420",36651,35977,35732,28108,19793,32281,19571,19413,17763
"Scap_DM21G11_01421",4115,3935,4081,2758,1776,2774,1706,1616,1495
"Scap_DM21G11_01422",7311,8168,10186,7155,5236,9236,5969,6070,6737
"Scap_DM21G11_01423",14581,17032,20710,12269,9275,15880,11307,11180,11993
"Scap_DM21G11_01424",17783,23429,26405,6926,5690,8963,7577,7706,7608
"Scap_DM21G11_01425",38487,36540,38730,58852,48012,77696,45284,54374,54093
"Scap_DM21G11_01426",11138,10531,11195,16783,13710,22557,12306,14621,14353
"Scap_DM21G11_01427",5681,5596,5720,8780,6804,10782,6539,7253,7310
"Scap_DM21G11_01428",2524,2575,2578,2471,1584,2354,2368,2477,2151
"Scap_DM21G11_01429",56920,58974,61370,28197,16502,25273,16009,13517,13326
"Scap_DM21G11_01430",27,27,32,27,18,21,24,21,27
"Scap_DM21G11_01431",145,184,213,109,81,118,123,112,130
"Scap_DM21G11_01432",268,308,361,137,128,215,120,153,190
"Scap_DM21G11_01433",19416,18760,19161,35707,26859,39657,31446,29418,27026
"Scap_DM21G11_01434",6203,5925,6315,29020,22214,35337,29752,29197,29060
"Scap_DM21G11_01435",3989,3520,3816,28542,20159,33167,28558,26510,26077
"Scap_DM21G11_01436",5803,5091,6372,37933,31328,47605,42555,48329,49017
"Scap_DM21G11_01437",12732,10313,12633,78493,65226,100634,87422,97328,92867
"Scap_DM21G11_01438",17836,15243,17972,105777,87584,129113,123769,135120,127847
"Scap_DM21G11_01439",16424,13513,14411,75782,58924,88882,81803,86168,81388
"Scap_DM21G11_01440",11648,10596,10134,42714,34020,51811,51333,57161,50739
"Scap_DM21G11_01441",71859,85056,93508,25262,21520,33548,25205,26880,24472
"Scap_DM21G11_01442",11771,12009,12590,10713,7903,13103,8257,7973,8097
