ID,category,SCNIH004,SCNIH009,SCNIH016,NIHLM087,SENIH040,SENIH047,SHNIH025,SHNIH027,SHNIH030
S0530,genus_core,1,1,1,1,1,1,2,1,1
S0531,genus_core,1,1,2,1,1,1,1,1,1
S0532,genus_core,1,1,2,3,1,1,1,3,3
S0533,genus_core,1,1,1,1,1,1,1,1,2
S0534,genus_core,3,3,3,1,2,2,2,1,1
S0535,genus_core,2,2,2,2,2,2,2,2,2
S0536,genus_core,2,1,2,2,2,2,2,2,2
S0537,genus_core,1,2,1,2,1,1,1,1,2
S0538,genus_core,2,1,2,2,2,2,2,2,2
S0539,species_restricted_core,2,1,2,3,3,3,0,0,1
S0540,genus_core,1,3,1,2,1,2,1,1,1
S0541,genus_core,1,2,2,2,1,1,1,1,1
S0542,genus_core,3,3,3,1,1,1,1,1,3
S0543,genus_core,1,3,3,3,1,3,1,1,1
S0544,genus_core,1,1,1,1,1,1,3,1,3
S0545,genus_core,1,3,1,3,1,3,1,2,2
S0546,genus_core,1,3,1,1,1,1,1,2,2
S0547,genus_core,3,3,1,1,1,1,1,1,2
S0549,genus_core,2,1,2,2,2,2,2,2,2
S0550,species_restricted_core,2,2,2,2,1,1,1,1,1
S0551,species_restricted_core,1,1,1,2,1,1,2,0,1
S0553,genus_core,2,2,2,2,2,2,2,2,2
S0554,genus_core,2,2,2,2,2,2,2,2,2
S0555,genus_core,2,2,1,1,1,1,1,1,1
S0556,genus_core,1,1,1,1,1,1,1,1,2
S0557,genus_core,1,2,2,2,2,2,1,1,1
S0558,genus_core,1,2,2,2,2,2,1,1,1
S0559,genus_core,1,2,1,1,1,1,1,1,1
S0560,genus_core,1,1,2,3,3,1,1,1,1
S0561,species_restricted_core,1,1,2,1,1,2,0,0,0
S0562,genus_core,2,2,2,2,2,2,2,2,1
S0563,genus_core,2,2,2,2,2,2,2,2,1
S0564,genus_core,2,2,2,2,2,2,2,2,1
S0565,genus_core,2,2,2,2,2,2,2,2,1
S0566,genus_core,2,2,2,2,2,2,2,1,1
S0567,genus_core,2,2,2,2,2,2,2,2,1
S0568,genus_core,1,1,1,1,1,2,1,1,1
S0573,genus_core,1,1,1,2,1,2,2,1,1
S0574,species_restricted_core,3,1,1,3,1,1,0,0,0
S0575,genus_core,2,1,1,1,1,1,1,1,1
S0576,genus_core,2,2,2,1,1,1,2,2,1
S0577,genus_core,3,1,1,1,1,1,1,1,1
S0578,species_restricted_core,1,2,1,2,1,2,0,0,0
S0579,species_restricted_core,3,1,1,1,1,1,0,0,0
S0581,species_restricted_core,3,3,3,1,2,2,0,0,0
S0582,genus_core,1,1,2,1,1,1,1,1,1
S0583,species_restricted_core,1,1,2,3,3,3,0,0,0
S0584,genus_core,1,1,3,2,1,1,1,1,3
S0586,genus_core,2,1,2,1,1,1,2,1,1
S0588,genus_core,2,1,1,2,1,1,1,1,1
S0589,genus_core,1,1,1,3,1,1,1,1,1
S0590,genus_core,3,3,3,1,1,1,1,3,1
S0591,genus_core,3,3,3,1,3,3,1,3,3
S0592,genus_core,3,3,3,1,3,3,1,3,3
S0593,genus_core,3,3,3,3,3,3,3,3,3
S0597,genus_core,1,3,1,1,1,1,1,1,1
S0598,genus_core,1,1,1,1,1,2,1,1,1
S0602,genus_core,1,1,2,2,2,1,2,2,2
S0604,genus_core,1,1,3,3,3,3,3,1,3
S0607,genus_core,1,1,1,1,1,1,2,1,1
S0608,genus_core,1,1,1,1,1,1,3,1,1
S0609,genus_core,1,1,1,1,1,1,3,1,1
S0610,genus_core,1,1,1,1,1,1,3,1,1
S0611,genus_core,1,1,1,3,1,1,3,1,1
S0612,genus_core,1,1,1,3,3,3,3,1,3
S0613,genus_core,2,1,2,2,1,2,1,1,1
S0614,genus_core,1,1,1,1,1,1,3,1,3
S0616,genus_core,3,1,1,3,3,3,3,1,1
S0617,genus_core,1,1,1,2,1,1,1,1,2
S0619,genus_core,1,1,1,3,1,1,1,1,1
S0620,genus_core,1,1,1,1,1,1,3,1,3
S0621,genus_core,1,1,1,1,1,1,3,1,3
S0625,genus_core,3,1,1,1,1,1,1,1,1
S0626,genus_core,1,1,1,3,3,1,1,1,1
S0628,species_restricted_core,1,2,2,2,2,2,0,0,0
S0629,species_restricted_core,1,2,2,2,2,2,0,0,0
S0630,genus_core,1,1,1,1,1,1,1,1,3
S0631,genus_core,1,1,1,2,1,1,1,1,3
S0632,genus_core,1,1,1,2,1,1,1,1,3
S0633,genus_core,1,1,1,2,1,1,1,1,1
S0634,genus_core,1,1,1,2,1,1,1,1,1
S0635,genus_core,1,1,2,2,1,1,1,1,1
S0636,genus_core,1,1,2,2,1,1,1,1,1
S0637,genus_core,1,1,2,2,1,1,1,1,3
S0639,genus_core,2,1,2,2,2,1,2,2,2
S0642,genus_core,1,1,1,1,1,1,3,1,1
S0643,genus_core,1,2,2,1,1,2,1,1,1
S0646,genus_core,1,1,1,1,1,1,1,1,2
S0647,genus_core,1,1,1,1,1,1,1,1,2
S0648,genus_core,2,1,2,2,1,1,2,2,2
S0649,genus_core,1,1,1,3,1,1,1,1,1
S0650,genus_core,1,1,1,3,3,3,1,1,3
S0651,genus_core,1,1,1,3,1,1,1,1,3
S0653,genus_core,1,1,1,1,1,1,2,1,1
S0654,genus_core,1,1,1,2,2,1,2,1,1
S0655,genus_core,1,1,3,1,1,1,1,1,1
S0656,genus_core,1,2,2,1,1,1,1,1,1
S0657,genus_core,1,1,2,1,1,1,1,1,1
S0658,genus_core,2,1,2,1,3,1,1,1,1
S0660,genus_core,1,1,1,1,1,1,2,1,1
S0662,genus_core,1,1,1,1,2,1,1,1,3
S0663,genus_core,1,2,2,2,1,2,2,2,2
S0664,genus_core,1,1,1,1,1,1,3,1,1
S0665,genus_core,1,1,1,1,1,2,1,1,1
S0666,genus_core,1,1,1,2,1,1,1,1,1
S0667,genus_core,2,1,1,2,1,1,1,1,2
S0668,genus_core,3,1,1,1,1,1,2,1,2
S0672,species_restricted_core,3,1,1,1,1,1,0,0,0
S0675,genus_core,1,1,3,3,3,1,3,1,1
S0676,genus_core,3,1,3,3,3,3,3,3,1
S0678,genus_core,1,1,2,2,2,1,1,1,1
S0679,genus_core,2,2,2,1,1,1,1,1,1
S0680,genus_core,1,1,2,1,1,1,1,1,2
S0681,genus_core,1,1,1,1,1,1,3,1,1
S0683,genus_core,1,1,1,3,3,1,1,1,1
S0684,genus_core,1,1,1,3,3,1,1,1,1
S0685,genus_core,1,1,1,3,3,1,1,1,3
S0686,genus_core,1,1,1,3,3,1,1,1,3
S0689,genus_core,1,1,1,3,3,3,1,1,3
S0690,genus_core,1,3,3,3,3,3,1,1,3
S0691,genus_core,1,1,3,3,3,3,1,1,3
S0692,genus_core,1,1,3,3,3,3,1,1,3
S0693,genus_core,1,1,1,3,3,1,1,1,3
S0695,genus_core,2,1,1,1,1,1,2,1,1
S0696,genus_core,2,1,1,1,1,1,2,1,1
S0697,genus_core,2,1,1,1,1,1,2,1,1
S0698,genus_core,2,1,1,1,1,2,2,1,1
S0699,genus_core,2,1,1,1,1,2,2,1,1
S0700,genus_core,1,1,1,3,1,3,1,1,1
S0703,genus_core,1,1,1,1,1,1,1,1,2
S0706,genus_core,1,1,1,1,1,1,1,1,2
S0707,genus_core,1,1,1,3,1,3,3,1,1
S0708,genus_core,1,1,1,2,2,2,2,2,2
S0711,genus_core,1,3,1,1,1,1,1,1,1
S0713,genus_core,1,1,1,1,1,1,1,1,3
S0714,genus_core,2,2,1,2,2,2,1,1,1
S0715,genus_core,1,1,1,1,1,1,1,1,3
S0716,genus_core,1,1,1,1,1,1,1,1,3
S0717,genus_core,1,1,1,1,1,1,3,1,1
S0718,genus_core,2,2,2,1,2,1,1,1,3
S0719,genus_core,2,2,2,1,2,1,1,1,3
S0721,genus_core,1,3,3,3,3,3,3,3,3
S0724,genus_core,1,1,1,2,2,2,1,1,1
S0725,genus_core,3,1,1,2,2,2,1,1,1
S0727,genus_core,1,1,3,1,3,1,1,1,3
S0728,species_restricted_core,1,1,1,1,3,3,0,0,0
S0729,species_restricted_core,2,1,2,0,0,1,0,1,0
S0730,genus_core,1,1,1,1,1,1,1,1,3
S0731,genus_core,2,1,1,3,1,1,1,1,1
S0732,genus_core,2,1,1,1,1,1,1,1,1
S0733,genus_core,2,1,1,3,1,1,1,1,1
S0734,genus_core,1,1,1,2,2,1,1,1,1
S0735,genus_core,1,1,1,2,1,2,1,1,1
S0736,genus_core,2,2,1,1,1,1,1,1,3
S0737,genus_core,2,1,2,2,2,1,1,1,3
S0738,genus_core,2,2,2,2,1,2,1,1,1
S0739,genus_core,2,2,2,2,1,2,1,1,1
