"","Scap_PJ_019","Scap_PJ_020","Scap_PJ_021","Scap_PJ_022","Scap_PJ_023","Scap_PJ_024","Scap_PJ_025","Scap_PJ_026","Scap_PJ_027"
"Scap_2C01_ad_00300",563,587,547,864,666,949,829,852,806
"Scap_2C01_ad_00301",4167,4413,3564,5275,4435,5232,4572,5257,4977
"Scap_2C01_ad_00302",54274,56968,46481,32290,28290,37118,20518,23564,21487
"Scap_2C01_ad_00303",68819,65176,58005,16619,16132,17959,12094,14618,13919
"Scap_2C01_ad_00304",1305,1416,1207,4105,3884,4947,5570,5099,4598
"Scap_2C01_ad_00305",2189,2383,2182,2821,2755,3300,4702,4555,4288
"Scap_2C01_ad_00306",1453,1533,1530,2272,2134,2838,3632,3373,3027
"Scap_2C01_ad_00307",2123,2254,1994,3021,3073,3838,5023,4770,4428
"Scap_2C01_ad_00308",2195,2293,2013,3408,3398,4249,5275,4864,4302
"Scap_2C01_ad_00309",675,696,590,750,800,923,1222,1141,1130
"Scap_2C01_ad_00310",222,227,217,178,165,290,245,257,221
"Scap_2C01_ad_00311",61,59,70,68,69,119,165,148,113
"Scap_2C01_ad_00312",1189,1276,1063,2043,2205,2946,4161,3691,3671
"Scap_2C01_ad_00313",351,341,314,533,577,798,1223,1139,974
"Scap_2C01_ad_00314",36874,38065,34049,43521,44058,57164,64131,62896,60397
"Scap_2C01_ad_00315",4483,4665,4028,5851,5177,6039,9256,10427,9582
"Scap_2C01_ad_00316",448,446,399,559,501,564,945,948,898
"Scap_2C01_ad_00317",303,373,297,384,358,447,474,564,536
"Scap_2C01_ad_00318",2093,1955,1543,3242,2964,3619,2805,3150,3085
"Scap_2C01_ad_00319",731,716,751,1141,1120,1453,1195,1343,1216
"Scap_2C01_ad_00320",146151,135400,113877,324413,292427,357963,335119,330357,338150
"Scap_2C01_ad_00321",356,499,560,1761,2256,2812,3466,2484,2324
"Scap_2C01_ad_00322",1121,1374,1643,3035,4588,5884,8468,5858,5381
"Scap_2C01_ad_00323",2923,3157,2939,3587,3859,4723,6536,5767,5558
"Scap_2C01_ad_00324",2588,2703,2635,3253,3562,4811,6944,6354,5646
"Scap_2C01_ad_00325",432,499,465,597,609,848,1396,1125,1140
"Scap_2C01_ad_00326",1736,1894,1883,2138,2287,2864,4923,4509,4218
"Scap_2C01_ad_00327",1722,1918,1797,2055,2111,2440,4618,4143,4001
"Scap_2C01_ad_00328",2153,2861,2503,11595,9355,10319,9777,10739,9723
"Scap_2C01_ad_00329",2119,2632,2353,12297,9609,9611,9492,10285,9584
"Scap_2C01_ad_00330",1497,2039,2021,8717,7293,8014,9050,9454,8680
"Scap_2C01_ad_00331",9181,10510,9091,30017,23933,26252,29204,31489,28326
"Scap_2C01_ad_00332",3041,3237,2804,25393,22331,24299,23664,24148,24221
"Scap_2C01_ad_00333",79713,82162,68379,750188,663533,724696,678111,756063,742238
"Scap_2C01_ad_00334",421,403,343,415,386,428,449,608,599
"Scap_2C01_ad_00335",2643,2919,2706,8606,9350,12133,15891,14244,12881
"Scap_2C01_ad_00336",476,560,519,1560,1708,2061,2672,2304,2338
"Scap_2C01_ad_00337",12862,17344,18552,89637,94430,106970,134390,134598,122027
"Scap_2C01_ad_00338",3159,3282,2671,3868,3092,3572,3678,3762,3614
"Scap_2C01_ad_00339",4790,5009,4738,1250,1264,1544,618,701,786
"Scap_2C01_ad_00340",35029,32389,30692,8836,8984,10436,3625,4150,4236
"Scap_2C01_ad_00341",257876,252993,225095,60063,60948,68776,21144,24678,27597
